h3_index,hour,dow,lat,lon,street_light_coverage,police_station_dist_m,crowd_density,road_quality,cctv_coverage,historical_incident_rate,is_night,time_risk_score,safety_score
893cf2d4ba7ffff,19,6,22.61331,88.371185,0.5459,1654.3,0.743,0.5481,0.3026,0.9939,0.5,0.2235,0.4545
893cf2c4137ffff,15,2,22.524537,88.439153,0.7874,5296.7,0.4987,0.6255,0.2345,0.1466,0.0,0.1063,0.4738
893cf2c2977ffff,9,4,22.519798,88.301728,0.658,2160.6,0.7265,0.5848,0.2766,1.1042,0.0,0.1647,0.5525
893cf2d4267ffff,0,5,22.592695,88.280157,0.6346,7747.3,0.1095,0.6016,0.3034,0.9284,1.0,0.862,0.1959
893cf2c09b7ffff,4,5,22.481868,88.33269,0.5381,3791.5,0.0329,0.5942,0.2476,0.4645,1.0,0.885,0.1151
893cf2c6303ffff,0,2,22.552128,88.392731,0.4892,3233.5,0.02,0.635,0.273,1.0159,1.0,0.9259,0.1076
893cf289357ffff,17,3,22.599467,88.424475,0.6449,3335.2,0.6709,0.7312,0.2431,0.2215,0.0,0.2637,0.5484
893cf2d4d67ffff,15,0,22.635939,88.35827,0.7611,4323.6,0.505,0.5631,0.3582,0.5026,0.0,0.1584,0.4805
893cf2c2bbbffff,22,2,22.508252,88.292299,0.4685,1221.3,0.0832,0.6206,0.3517,1.1585,1.0,0.6267,0.3054
893cf2c72b7ffff,9,6,22.504147,88.338673,0.7215,2132.8,0.7035,0.8258,0.3283,0.2538,0.0,0.1646,0.6159
893cf2896cbffff,12,0,22.608946,88.376345,0.7609,1104.0,0.6359,0.8157,0.4091,0.7662,0.0,0.1659,0.6032
893cf2891d7ffff,16,3,22.629274,88.426165,0.6794,2705.9,0.5414,0.6631,0.2244,0.387,0.0,0.1324,0.5307
893cf2d6b4fffff,0,1,22.648207,88.329902,0.5159,7667.1,0.1288,0.5891,0.327,0.5268,1.0,0.8962,0.1216
893cf2d4813ffff,23,2,22.622405,88.341962,0.4913,4188.0,0.0925,0.4995,0.324,0.5157,1.0,0.9314,0.0991
893cf2890afffff,18,0,22.624099,88.418435,0.574,1922.9,0.6911,0.577,0.2438,0.3519,0.5,0.2068,0.498
893cf2891c3ffff,10,2,22.626094,88.425309,0.8771,2533.3,0.7707,0.5866,0.3248,0.0887,0.0,0.1134,0.6254
893cf2c6573ffff,9,2,22.584314,88.382386,0.8399,1383.5,0.7987,0.5185,0.2782,0.2617,0.0,0.15,0.689
893cf2d4b33ffff,4,6,22.60695,88.369473,0.6195,1151.4,0.02,0.7098,0.3371,0.6131,1.0,0.9476,0.4142
893cf2d4ba3ffff,18,5,22.612312,88.367749,0.5801,1898.5,0.773,0.5899,0.292,0.0,0.5,0.2522,0.5237
893cf2c6dd7ffff,4,5,22.59173,88.438232,0.5071,3203.2,0.02,0.6451,0.2987,1.086,1.0,0.8717,0.1413
893cf2c0da7ffff,15,1,22.49497,88.317217,0.6182,2049.9,0.6128,0.6319,0.3098,0.7849,0.0,0.1009,0.5532
893cf2d4987ffff,2,1,22.635754,88.367722,0.5727,3320.7,0.02,0.6738,0.3003,1.2255,1.0,0.9034,0.2032
893cf28913bffff,8,6,22.624719,88.440781,0.7073,4375.5,0.8495,0.4763,0.3028,0.6096,0.0,0.1948,0.5205
893cf2c41cbffff,18,2,22.518554,88.418538,0.5657,5731.6,0.7878,0.5816,0.2086,0.8232,0.5,0.2659,0.4194
893cf2d4813ffff,0,1,22.622405,88.341962,0.5952,4337.2,0.02,0.6597,0.268,0.263,1.0,0.9494,0.1649
893cf2c68cfffff,14,5,22.564097,88.433961,0.7071,1490.5,0.6044,0.7096,0.3258,0.4679,0.0,0.1712,0.6057
893cf2d4323ffff,20,6,22.606054,88.305904,0.5,6299.6,0.7784,0.5225,0.2132,0.1856,0.5,0.635,0.3236
893cf2c624bffff,17,2,22.534598,88.362684,0.7491,1520.4,0.8414,0.5903,0.2895,0.2043,0.0,0.2698,0.6035
893cf2d41bbffff,12,0,22.634853,88.304147,0.834,8006.4,0.5791,0.5353,0.2789,0.14,0.0,0.1152,0.5218
893cf2c0da7ffff,0,3,22.49497,88.317217,0.5615,1695.5,0.0822,0.6063,0.3299,1.1126,1.0,0.955,0.2526
893cf2c62a7ffff,8,4,22.553501,88.377266,0.6802,1725.1,0.8164,0.4675,0.3016,0.0,0.0,0.1679,0.5551
893cf2c6a87ffff,5,2,22.552369,88.433972,0.5815,2416.7,0.1974,0.5752,0.2878,0.1633,0.5,0.5258,0.3978
893cf2c6c53ffff,5,1,22.576204,88.415045,0.7058,860.6,0.3424,0.5895,0.3934,0.0713,0.5,0.4527,0.5465
893cf28955bffff,1,5,22.632829,88.408114,0.8133,918.5,0.02,0.6887,0.5563,0.6818,1.0,0.8758,0.4881
893cf2896c3ffff,16,1,22.612127,88.3772,0.7938,1223.3,0.6324,0.5467,0.2802,0.0,0.0,0.1047,0.6285
893cf2894b7ffff,11,0,22.644736,88.398648,0.9032,1616.2,0.5511,0.6718,0.3577,0.1947,0.0,0.1154,0.642
893cf2d4e77ffff,19,2,22.608869,88.325657,0.5535,4615.2,0.8182,0.5434,0.2422,0.4503,0.5,0.237,0.4144
893cf2c434bffff,15,6,22.488722,88.41685,0.6972,8772.1,0.4679,0.7432,0.2102,0.0,0.0,0.117,0.4867
893cf2d456fffff,9,0,22.634034,88.291263,0.8634,8899.8,0.7144,0.593,0.3979,0.2607,0.0,0.2215,0.5313
893cf2d4a6bffff,0,6,22.587239,88.342006,0.5864,2264.5,0.1594,0.617,0.2639,0.625,1.0,0.9288,0.2676
893cf2882c7ffff,10,6,22.649348,88.434741,0.8103,4014.0,0.7231,0.6074,0.2648,0.0591,0.0,0.166,0.598
893cf28b2cbffff,11,0,22.646475,88.364273,0.6699,3974.8,0.5713,0.6912,0.3112,0.2084,0.0,0.1613,0.5089
893cf2c282fffff,19,2,22.5148,88.284562,0.5709,2321.9,0.7153,0.543,0.2627,0.4973,0.5,0.2414,0.5224
893cf2c6dd7ffff,17,2,22.59173,88.438232,0.8085,2882.0,0.7761,0.6646,0.31,0.6932,0.0,0.2392,0.5587
893cf2c6203ffff,20,6,22.545142,88.368685,0.6358,1801.8,0.8324,0.6077,0.2887,0.0867,0.5,0.6254,0.5024
893cf2d415bffff,1,2,22.620136,88.29386,0.537,7827.5,0.0468,0.5746,0.3481,0.8358,1.0,0.948,0.0955
893cf28945bffff,11,5,22.625845,88.384059,0.7684,1811.2,0.5723,0.585,0.3369,0.3925,0.0,0.167,0.5855
893cf2d5a3bffff,11,4,22.545253,88.308563,0.855,3504.6,0.583,0.6009,0.2328,0.0946,0.0,0.1423,0.5704
893cf2c72b7ffff,11,3,22.504147,88.338673,0.7568,1916.3,0.5512,0.5471,0.3294,0.1999,0.0,0.1012,0.5857
893cf289683ffff,12,4,22.619485,88.382348,0.7071,2126.3,0.5137,0.6287,0.2856,0.0921,0.0,0.1317,0.5631
893cf2c4493ffff,20,1,22.539589,88.379858,0.5955,3019.1,0.7298,0.5868,0.3277,0.702,0.5,0.6291,0.4543
893cf2c63dbffff,13,4,22.551318,88.379845,0.7022,2224.3,0.4484,0.5857,0.3545,0.618,0.0,0.1535,0.5329
893cf2c7263ffff,23,0,22.48605,88.336978,0.4126,3832.6,0.1092,0.6943,0.2762,0.3736,1.0,0.8874,0.1272
893cf2d5903ffff,2,1,22.575699,88.332571,0.4786,2284.2,0.1284,0.5241,0.2394,0.6753,1.0,0.8943,0.1669
893cf2894b7ffff,18,2,22.644736,88.398648,0.6389,1652.3,0.8036,0.6546,0.3781,0.0,0.5,0.2611,0.6229
893cf2890cfffff,17,2,22.616929,88.403833,0.6705,1558.1,0.7258,0.6535,0.4683,0.1756,0.0,0.2016,0.6127
893cf2895a3ffff,11,2,22.648539,88.421849,0.6638,2955.9,0.45,0.5863,0.2747,0.0904,0.0,0.1729,0.5382
893cf2c705bffff,5,6,22.507515,88.330081,0.6294,1446.7,0.3219,0.5241,0.3735,0.4722,0.5,0.4762,0.5147
893cf2d6a73ffff,17,0,22.645391,88.310146,0.765,8380.0,0.7517,0.5628,0.3291,0.1973,0.0,0.2192,0.5199
893cf2d5c9bffff,1,4,22.590515,88.282736,0.591,7461.9,0.118,0.6478,0.2382,0.4642,1.0,0.9513,0.0983
893cf2c425bffff,10,2,22.483924,88.390227,0.7363,7566.9,0.735,0.5853,0.3134,0.0,0.0,0.18,0.5165
893cf2c4323ffff,11,4,22.499077,88.432303,0.7115,8053.8,0.6869,0.6324,0.2086,0.4066,0.0,0.1182,0.4797
893cf2c6387ffff,17,1,22.560675,88.391863,0.7369,2864.2,0.7974,0.5716,0.2941,0.0844,0.0,0.2212,0.549
893cf2c7043ffff,19,0,22.508514,88.333515,0.5968,1527.1,0.7446,0.578,0.3301,0.0655,0.5,0.2799,0.5309
893cf2c4223ffff,20,4,22.492096,88.408256,0.4799,8086.3,0.7103,0.633,0.3423,0.6429,0.5,0.5012,0.3708
893cf2892abffff,8,5,22.600841,88.409005,0.851,2872.7,0.6812,0.5903,0.2907,0.0,0.0,0.1782,0.5977
893cf2894bbffff,4,2,22.640559,88.394355,0.6703,1315.8,0.0738,0.7649,0.4198,0.5506,1.0,0.9231,0.4233
893cf2c76b3ffff,12,0,22.518431,88.317186,0.7929,1227.5,0.5167,0.6348,0.3123,0.2436,0.0,0.1221,0.5963
893cf2d5c4fffff,5,0,22.57443,88.287912,0.4982,5865.2,0.1917,0.5825,0.2295,0.0,0.5,0.5307,0.2357
893cf2c45dbffff,14,4,22.536031,88.397902,0.7129,4421.7,0.521,0.5843,0.2533,0.1398,0.0,0.1214,0.5434
893cf2c6337ffff,2,4,22.555121,88.403037,0.5467,2335.4,0.0682,0.6672,0.3459,0.6877,1.0,0.9048,0.234
893cf2d49c7ffff,18,1,22.628397,88.362575,0.5742,3591.5,0.7644,0.5675,0.3997,0.1583,0.5,0.2175,0.4932
893cf2c608fffff,10,2,22.572775,88.372949,0.7256,958.1,0.6505,0.5057,0.2,0.5994,0.0,0.1472,0.5666
893cf2d6acbffff,4,1,22.647751,88.298116,0.5628,9277.0,0.02,0.527,0.2996,0.2517,1.0,0.9667,0.1233
893cf2894bbffff,12,2,22.640559,88.394355,0.8694,1146.0,0.6259,0.6592,0.4853,0.0,0.0,0.1175,0.7037
893cf2c653bffff,7,1,22.588493,88.386678,0.712,1121.1,0.1666,0.6611,0.255,0.1513,0.0,0.1553,0.5456
893cf28b277ffff,20,6,22.645108,88.379742,0.6084,2409.8,0.7741,0.6795,0.321,0.4063,0.5,0.533,0.5179
893cf289297ffff,1,5,22.607389,88.401265,0.5655,2142.7,0.1212,0.6855,0.3118,0.4496,1.0,0.899,0.2746
893cf2c7097ffff,15,4,22.526609,88.33521,0.6992,709.7,0.5017,0.6741,0.277,0.5616,0.0,0.1687,0.5982
893cf28b34bffff,13,2,22.64592,88.392631,0.8443,1960.9,0.5477,0.6402,0.359,0.2462,0.0,0.1554,0.5908
893cf2c425bffff,16,3,22.483924,88.390227,0.7301,7211.8,0.5129,0.5025,0.2771,0.0,0.0,0.1002,0.4947
893cf2c6563ffff,8,0,22.582132,88.384966,0.7407,1413.3,0.7542,0.4986,0.327,0.0392,0.0,0.2081,0.5963
893cf2c458fffff,4,2,22.542206,88.409065,0.5224,3461.8,0.1584,0.6511,0.3781,0.3356,1.0,0.8925,0.2592
893cf2c2927ffff,12,0,22.524979,88.309449,0.743,2160.8,0.5572,0.47,0.3406,0.1919,0.0,0.1247,0.546
893cf2d4e43ffff,23,0,22.605872,88.315353,0.6718,5480.2,0.0894,0.6666,0.2357,0.5378,1.0,0.8864,0.1934
893cf2c743bffff,2,3,22.529976,88.326617,0.5877,1225.3,0.0878,0.6408,0.2363,0.5013,1.0,0.9493,0.316
893cf289697ffff,12,5,22.622665,88.383203,0.7705,2069.6,0.5589,0.5976,0.3595,0.2591,0.0,0.1607,0.6002
893cf2c75c3ffff,2,6,22.538337,88.335195,0.5996,1504.0,0.02,0.5229,0.2788,0.1151,1.0,0.9578,0.2597
893cf2d40afffff,23,4,22.626675,88.28612,0.6456,9065.9,0.0959,0.6765,0.2053,0.5668,1.0,0.8979,0.1733
893cf2d4eb3ffff,5,2,22.622771,88.323062,0.6415,5981.8,0.3301,0.6464,0.3276,0.4218,0.5,0.4889,0.4144
893cf28901bffff,13,6,22.617927,88.407269,0.8068,1554.0,0.6467,0.5668,0.3938,0.2722,0.0,0.1476,0.6061
893cf2c0dbbffff,17,5,22.492972,88.31035,0.8161,1519.7,0.7294,0.6494,0.2684,0.5372,0.0,0.2131,0.6471
893cf2c722fffff,6,5,22.49123,88.3447,0.6283,3622.4,0.3448,0.6515,0.2552,1.1118,0.5,0.5147,0.3936
893cf2d430bffff,8,2,22.603055,88.295601,0.8275,7372.0,0.6169,0.6286,0.2819,0.0,0.0,0.1845,0.5136
893cf2d43b7ffff,23,4,22.616775,88.302454,0.488,6803.4,0.1207,0.6301,0.4027,0.3765,1.0,0.8994,0.1069
893cf2d4957ffff,11,1,22.623035,88.3643,0.7222,3151.0,0.5261,0.5091,0.3746,0.0637,0.0,0.102,0.5391
893cf2c6533ffff,22,3,22.591674,88.387533,0.6424,1137.4,0.2036,0.6875,0.3947,0.4165,1.0,0.626,0.4558
893cf2c65c3ffff,17,4,22.589864,88.371211,0.6885,737.9,0.7848,0.6602,0.3008,0.0,0.0,0.2156,0.6123
893cf2d5b97ffff,14,0,22.564157,88.323138,0.7459,2331.5,0.516,0.59,0.3366,0.2255,0.0,0.1195,0.5632
893cf2d59d3ffff,3,1,22.578064,88.320543,0.5485,3372.8,0.0594,0.6022,0.3283,0.463,1.0,0.8813,0.1634
893cf2c4cdbffff,2,2,22.52772,88.440009,0.5164,5141.1,0.0816,0.5178,0.2915,0.7253,1.0,0.86,0.05
893cf2d4c47ffff,8,2,22.62913,88.324772,0.8435,6271.7,0.7567,0.6276,0.2607,0.0,0.0,0.2255,0.5411
893cf2d5cc7ffff,15,0,22.585154,88.284462,0.7965,6863.7,0.6018,0.5769,0.2915,0.4986,0.0,0.1156,0.4659
893cf28921bffff,12,6,22.595665,88.401277,0.6893,2362.9,0.5935,0.531,0.2647,0.4105,0.0,0.1343,0.518
893cf2c701bffff,17,1,22.514879,88.335224,0.6247,1034.6,0.8818,0.6353,0.329,1.1671,0.0,0.2283,0.5782
893cf2c71c3ffff,23,4,22.523055,88.35325,0.5417,2170.9,0.0371,0.5841,0.2952,0.2197,1.0,0.948,0.2692
893cf2d43b7ffff,17,6,22.616775,88.302454,0.7945,6826.6,0.708,0.7157,0.2327,0.5743,0.0,0.2407,0.5014
893cf2c6d43ffff,2,3,22.581,88.44168,0.5753,2427.5,0.0361,0.6192,0.2905,0.7323,1.0,0.9316,0.2332
893cf2890afffff,7,3,22.624099,88.418435,0.7855,1968.6,0.3178,0.6566,0.3062,0.2927,0.0,0.1618,0.5914
893cf2d4143ffff,14,6,22.621135,88.297294,0.6932,7827.9,0.682,0.5673,0.3451,0.6166,0.0,0.1693,0.4832
893cf2d415bffff,18,2,22.620136,88.29386,0.5197,7833.6,0.7516,0.6242,0.2103,0.0,0.5,0.2642,0.3934
893cf2c0c87ffff,0,5,22.488157,88.283741,0.5976,2198.0,0.1309,0.5393,0.2963,1.2205,1.0,0.9389,0.2392
893cf2c629bffff,22,0,22.551691,88.360946,0.5329,831.0,0.132,0.523,0.3897,1.5624,1.0,0.5332,0.3594
893cf2896afffff,9,3,22.617116,88.39438,0.7478,1394.5,0.7898,0.5925,0.3955,0.0701,0.0,0.207,0.628
893cf289147ffff,8,4,22.619545,88.43305,0.8176,3981.5,0.7606,0.5105,0.3664,0.6461,0.0,0.2157,0.5551
893cf2d4bd7ffff,7,6,22.608318,88.354007,0.7683,2385.4,0.2666,0.5533,0.3264,0.0,0.0,0.157,0.5177
893cf2d416fffff,3,4,22.618774,88.309323,0.5616,6715.5,0.0554,0.5998,0.3485,0.6698,1.0,0.9065,0.1218
893cf2d5b93ffff,0,3,22.563158,88.319704,0.5481,2397.0,0.1079,0.5949,0.2438,0.7953,1.0,0.9071,0.2379
893cf2c6c5bffff,8,0,22.573023,88.414189,0.8129,600.1,0.6124,0.6231,0.2482,0.0,0.0,0.2014,0.6074
893cf2c71a7ffff,20,6,22.531229,88.371278,0.535,2325.0,0.7559,0.5763,0.3512,0.3085,0.5,0.5643,0.4565
893cf2c432bffff,20,6,22.495894,88.431447,0.6865,8384.6,0.7936,0.5743,0.2893,0.0793,0.5,0.6367,0.4437
893cf2c7263ffff,4,0,22.48605,88.336978,0.5182,3545.2,0.1427,0.6173,0.2618,0.8064,1.0,0.8632,0.1572
893cf2c6223ffff,6,0,22.544955,88.378134,0.5908,2437.3,0.2288,0.6176,0.2795,0.577,0.5,0.47,0.3816
893cf2d6b67ffff,0,3,22.651204,88.340208,0.5322,6535.6,0.0703,0.5616,0.3691,0.3003,1.0,0.9095,0.1291
893cf2d4bbbffff,19,5,22.611314,88.364313,0.6439,2391.9,0.7222,0.5921,0.2608,0.9094,0.5,0.2761,0.5099
893cf2c7297ffff,10,2,22.504333,88.329227,0.8329,1679.0,0.7045,0.6479,0.2807,0.1814,0.0,0.1402,0.6294
893cf2d4b0fffff,14,2,22.602772,88.365182,0.7704,1154.1,0.4299,0.5536,0.2773,0.0,0.0,0.1696,0.6088
893cf2c734fffff,10,3,22.491043,88.354147,0.6737,4081.9,0.788,0.6126,0.2606,0.1115,0.0,0.1667,0.521
893cf2d5bd7ffff,14,4,22.556796,88.317994,0.6833,2536.6,0.5393,0.5863,0.2759,0.5406,0.0,0.1509,0.5252
893cf2882c7ffff,6,0,22.649348,88.434741,0.5017,4186.7,0.2123,0.5955,0.2552,0.583,0.5,0.5263,0.2779
893cf2c6eafffff,3,6,22.564287,88.424509,0.5348,695.7,0.0408,0.6508,0.3628,0.5851,1.0,0.9391,0.3037
893cf2c4407ffff,6,2,22.530854,88.390176,0.6254,4447.7,0.2469,0.6669,0.2536,0.4946,0.5,0.5095,0.342
893cf289203ffff,20,5,22.596663,88.404713,0.5268,2431.8,0.6849,0.5711,0.2686,0.3846,0.5,0.5873,0.4364
893cf2c7563ffff,9,0,22.530604,88.348946,0.7489,1281.9,0.7881,0.6186,0.2848,0.272,0.0,0.1514,0.6619
893cf2c5c8fffff,23,5,22.482356,88.415138,0.5314,9088.1,0.1511,0.7347,0.2962,0.5402,1.0,0.9658,0.1372
893cf2c7367ffff,13,5,22.494039,88.364449,0.7934,4517.0,0.5989,0.6319,0.3786,0.0967,0.0,0.1182,0.5337
893cf2892b7ffff,21,5,22.607201,88.410718,0.4952,2512.1,0.4196,0.6244,0.3732,0.3508,1.0,0.6066,0.378
893cf2c6813ffff,23,0,22.568276,88.438254,0.4939,1748.4,0.034,0.6028,0.2555,0.4456,1.0,0.9602,0.2518
893cf2d5b67ffff,8,4,22.546883,88.334325,0.728,1478.6,0.7742,0.6573,0.2633,0.2925,0.0,0.2104,0.5999
893cf2d6b67ffff,13,6,22.651204,88.340208,0.7316,6619.4,0.5027,0.5621,0.2991,0.0,0.0,0.1159,0.4687
893cf2c62a7ffff,3,2,22.553501,88.377266,0.5143,2003.1,0.0709,0.516,0.2705,0.5828,1.0,0.9063,0.2136
893cf2d4d6fffff,19,0,22.632759,88.357415,0.5243,4278.5,0.6913,0.5184,0.3539,0.2179,0.5,0.2184,0.4068
893cf2c291bffff,5,6,22.523163,88.293136,0.7308,2575.9,0.2447,0.6707,0.2874,0.4797,0.5,0.4803,0.459
893cf2d5b0fffff,4,6,22.551248,88.329167,0.5838,1556.4,0.1843,0.6227,0.3232,0.802,1.0,0.8737,0.2923
893cf2896afffff,22,4,22.617116,88.39438,0.5608,1718.4,0.02,0.7244,0.468,0.2724,1.0,0.6249,0.3458
893cf2c0d3bffff,5,3,22.485422,88.314654,0.6371,2192.5,0.3211,0.4876,0.2645,0.5867,0.5,0.4599,0.4404
893cf2c6eafffff,18,3,22.564287,88.424509,0.5878,544.3,0.8154,0.5813,0.3669,0.3635,0.5,0.2471,0.5881
893cf2d5b77ffff,18,6,22.549066,88.331746,0.6723,1279.6,0.7911,0.5792,0.2455,0.2156,0.5,0.2749,0.6052
893cf2d4963ffff,3,4,22.61967,88.372896,0.4778,2444.2,0.02,0.6604,0.2748,0.5654,1.0,0.9398,0.2061
893cf2d456fffff,4,6,22.634034,88.291263,0.6559,9095.8,0.1089,0.6271,0.3592,0.7639,1.0,0.8805,0.2158
893cf2c7463ffff,2,6,22.523612,88.324908,0.5242,490.6,0.02,0.5851,0.2715,2.0397,1.0,0.8967,0.2542
893cf2d5b03ffff,7,3,22.553431,88.326587,0.7286,1557.4,0.1563,0.5901,0.3002,0.0,0.0,0.1634,0.564
893cf2c6507ffff,17,1,22.590676,88.384098,0.829,1222.8,0.7655,0.7182,0.4729,0.221,0.0,0.2055,0.6635
893cf2d5c97ffff,18,0,22.594695,88.287024,0.4454,7222.1,0.7485,0.6526,0.3623,0.7662,0.5,0.2748,0.3922
893cf2c6d43ffff,17,2,22.581,88.44168,0.7531,2863.0,0.657,0.6104,0.2388,0.4233,0.0,0.2156,0.5472
893cf2c44b7ffff,21,4,22.540399,88.392743,0.4662,4039.3,0.3328,0.6772,0.3216,0.4785,1.0,0.6305,0.2829
893cf2d4a6bffff,12,0,22.587239,88.342006,0.7471,2527.8,0.5602,0.5589,0.2729,0.0,0.0,0.1386,0.5471
893cf2c6d73ffff,2,4,22.582994,88.448553,0.4816,3345.0,0.0222,0.5601,0.3181,0.9521,1.0,0.9312,0.0945
893cf28b25bffff,15,6,22.641115,88.365997,0.7908,3713.9,0.5566,0.5498,0.3647,0.9064,0.0,0.159,0.4838
893cf2d41cbffff,22,6,22.625495,88.292134,0.6005,8232.3,0.1447,0.6853,0.2304,0.7121,1.0,0.5567,0.2474
893cf2d48a7ffff,13,3,22.628581,88.353124,0.7439,4280.8,0.5667,0.6449,0.3627,0.0,0.0,0.161,0.4957
893cf289267ffff,10,6,22.590113,88.412453,0.6048,2494.5,0.6724,0.5611,0.3425,0.091,0.0,0.1557,0.5561
893cf2d5a63ffff,14,6,22.53889,88.306854,0.6641,3064.7,0.5597,0.6709,0.3959,0.3524,0.0,0.1082,0.5511
893cf2d4eb3ffff,7,3,22.622771,88.323062,0.7794,5522.4,0.3398,0.7066,0.2404,0.4247,0.0,0.2178,0.4468
893cf2c4ec3ffff,9,1,22.50644,88.437451,0.7392,7456.7,0.7659,0.5637,0.2932,0.3363,0.0,0.1842,0.4935
893cf2c687bffff,21,0,22.557544,88.441701,0.5707,2645.6,0.4359,0.5842,0.3161,0.5988,1.0,0.5269,0.3605
893cf289e43ffff,15,5,22.603265,88.447676,0.7451,4754.9,0.5839,0.681,0.3394,0.7859,0.0,0.1175,0.5343
893cf2d4e77ffff,2,5,22.608869,88.325657,0.6273,4516.7,0.0766,0.5403,0.3394,0.6627,1.0,0.8604,0.2049
893cf2c09a7ffff,2,3,22.479684,88.335269,0.6578,4481.9,0.0493,0.631,0.2898,0.7314,1.0,0.9047,0.2403
893cf2c4473ffff,17,4,22.524489,88.388465,0.7187,4488.4,0.6841,0.5823,0.3959,0.9541,0.0,0.2684,0.4905
893cf2d480fffff,14,0,22.618043,88.347122,0.7319,3715.9,0.559,0.6307,0.2806,0.3872,0.0,0.1679,0.515
893cf2d580bffff,19,1,22.565523,88.307677,0.5949,3843.2,0.7287,0.6459,0.3905,0.2842,0.5,0.2116,0.4787
893cf2d4b73ffff,6,6,22.599591,88.364327,0.6571,1042.5,0.241,0.6192,0.2776,0.6553,0.5,0.489,0.4749
893cf2c72dbffff,8,6,22.492787,88.319796,0.6868,2024.0,0.7625,0.7613,0.3404,0.078,0.0,0.1789,0.6408
893cf2d5b17ffff,4,3,22.556612,88.327442,0.4777,1393.0,0.02,0.5789,0.2835,0.6509,1.0,0.8771,0.25
893cf289e43ffff,20,6,22.603265,88.447676,0.7064,4789.3,0.7802,0.6209,0.3739,0.3495,0.5,0.6176,0.471
893cf288267ffff,6,2,22.641615,88.448502,0.6026,4964.6,0.2727,0.5466,0.2049,0.1176,0.5,0.5145,0.4028
893cf2c09b7ffff,8,1,22.481868,88.33269,0.7981,3686.6,0.6937,0.5477,0.3512,0.2203,0.0,0.2211,0.5601
893cf2c4557ffff,14,1,22.53266,88.406497,0.6566,4453.9,0.4566,0.6042,0.2316,0.1374,0.0,0.1458,0.4295
893cf289357ffff,0,1,22.599467,88.424475,0.4872,3293.9,0.02,0.6101,0.2825,0.6324,1.0,0.8989,0.1511
893cf2c705bffff,1,5,22.507515,88.330081,0.5911,1392.0,0.087,0.5715,0.2665,0.3592,1.0,0.9342,0.3457
893cf2d4357ffff,22,3,22.602055,88.292167,0.5687,7705.1,0.02,0.6285,0.2851,1.0272,1.0,0.5131,0.1135
893cf28b26bffff,14,5,22.638749,88.37803,0.7487,2576.5,0.5313,0.5721,0.2907,0.0,0.0,0.1674,0.5669
893cf2c6c97ffff,14,6,22.592108,88.419326,0.7326,2309.3,0.6239,0.6271,0.2731,0.2159,0.0,0.1178,0.5665
893cf2c68abffff,2,1,22.570269,88.445127,0.6122,2554.7,0.0865,0.6194,0.2161,1.1685,1.0,0.8823,0.2893
893cf2d4d1bffff,6,0,22.641483,88.347094,0.571,5435.2,0.306,0.5669,0.3287,0.8312,0.5,0.5165,0.3191
893cf2c608fffff,5,5,22.572775,88.372949,0.3969,755.0,0.2704,0.5192,0.2592,1.8656,0.5,0.5031,0.3623
893cf2c76b3ffff,8,2,22.518431,88.317186,0.7969,1403.6,0.6737,0.6552,0.3456,0.186,0.0,0.2126,0.6391
